,Index,Chapter,Content,Event,ESummary,EImportance,ERole,CTag,CText,Character,Location,LocationType,Time,SentimentScore,SentimentMagnitude
10,10,1,"'The Potters, that's right, that's what I heard yes, their son, Harry'",Whispers about the Potters,"Mr. Dursley overhears people in cloaks mentioning the Potters and their son, Harry, which triggers his fear and paranoia about his connection to them.",7.0,Inciting Incident,,,,office,INT,day,0.0,['maagnitude']
11,11,1,"Mr. Dursley stopped dead. Fear flooded him. He looked back at the whisperers as if he wanted to say something to them, but thought better of it.",Whispers about the Potters,"Mr. Dursley overhears people in cloaks mentioning the Potters and their son, Harry, which triggers his fear and paranoia about his connection to them.",7.0,Inciting Incident,Action,He experienced fear when hearing whispers about the Potters.,Mr. Dursley,office,INT,day,-0.30000001192092896,['maagnitude']
12,12,1,"He dashed back across the road, hurried up to his office, snapped at his secretary not to disturb him, seized his telephone, and had almost finished dialing his home number when he changed his mind. He put the receiver back down and stroked his mustache, thinking... no, he was being stupid. Potter wasn't such an unusual name. He was sure there were lots of people called Potter who had a son called Harry. Come to think of it, he wasn't even sure his nephew was called Harry. He'd never even seen the boy. It might have been Harvey. Or Harold. There was no point in worrying Mrs. Dursley; she always got so upset at any mention of her sister. He didn't blame her -- if he'd had a sister like that... but all the same, those people in cloaks...",Whispers about the Potters,"Mr. Dursley overhears people in cloaks mentioning the Potters and their son, Harry, which triggers his fear and paranoia about his connection to them.",7.0,Inciting Incident,,,,office,INT,day,-0.5,['maagnitude']
13,13,1,"He found it a lot harder to concentrate on drills that afternoon and when he left the building at five o'clock, he was still so worried that he walked straight into someone just outside the door.",,,,,,,,street,EXT,day,-0.5,['maagnitude']
14,14,1,"'Sorry,' he grunted, as the tiny old man stumbled and almost fell. It was a few seconds before Mr. Dursley realized that the man was wearing a violet cloak. He didn't seem at all upset at being almost knocked to the ground. On the contrary, his face split into a wide smile and he said in a squeaky voice that made passersby stare, 'Don't be sorry, my dear sir, for nothing could upset me today! Rejoice, for You-Know-Who has gone at last! Even Muggles like yourself should be celebrating, this happy, happy day!'",,,,,,,,street,EXT,day,0.0,['maagnitude']
15,15,1,And the old man hugged Mr. Dursley around the middle and walked off.,,,,,Action,Harry jumps to his feet with a sudden realization about Hagrid.,Harry Potter,street,EXT,day,-0.4000000059604645,['maagnitude']
16,16,1,"Mr. Dursley stood rooted to the spot. He had been hugged by a complete stranger. He also thought he had been called a Muggle, whatever that was. He was rattled. He hurried to his car and set off for home, hoping he was imagining things, which he had never hoped before, because he didn't approve of imagination.",,,,,,,,street,EXT,day,-0.30000001192092896,['maagnitude']
17,17,1,"As he pulled into the driveway of number four, the first thing he saw -- and it didn't improve his mood -- was the tabby cat he'd spotted that morning. It was now sitting on his garden wall. He was sure it was the same one; it had the same markings around its eyes. 'Shoo!' said Mr. Dursley loudly. The cat didn't move. It just gave him a stern look. Was this normal cat behavior? Mr. Dursley wondered. Trying to pull himself together, he let himself into the house. He was still determined not to mention anything to his wife. Mrs. Dursley had had a nice, normal day. She told him over dinner all about Mrs. Next Door's problems with her daughter and how Dudley had learned a new word ('Won't!'). Mr. Dursley tried to act normally. When Dudley had been put to bed, he went into the living room in time to catch the last report on the evening news:",,,,,,,,house,INT,night,-0.20000000298023224,['maagnitude']
18,18,1,"'And finally, bird-watchers everywhere have reported that the nation's owls have been behaving very unusually today. Although owls normally hunt at night and are hardly ever seen in daylight, there have been hundreds of sightings of these birds flying in every direction since sunrise. Experts are unable to explain why the owls have suddenly changed their sleeping pattern.' The newscaster allowed himself a grin. 'Most mysterious. And now, over to Jim McGuffin with the weather. Going to be any more showers of owls tonight, Jim?'",Dursley News Report,"The evening news reports unusual events occurring, such as owls flying during the day and sightings of shooting stars, confirming that something extraordinary is happening.",6.0,Turning Point,,,,house,INT,night,0.0,['maagnitude']
19,19,1,"'Well, Ted,' said the weatherman, 'I don't know about that, but it's not only the owls that have been acting oddly today. Viewers as far apart as Kent, Yorkshire, and Dundee have been phoning in to tell me that instead of the rain I promised yesterday, they've had a downpour of shooting stars! Perhaps people have been celebrating Bonfire Night early -- it's not until next week, folks! But I can promise a wet night tonight.'",Dursley News Report,"The evening news reports unusual events occurring, such as owls flying during the day and sightings of shooting stars, confirming that something extraordinary is happening.",6.0,Turning Point,,,,house,INT,night,-0.20000000298023224,['maagnitude']
20,20,1,"Mr. Dursley sat frozen in his armchair. Shooting stars all over Britain? Owls flying by daylight? Mysterious people in cloaks all over the place? And a whisper, a whisper about the Potters...",Dursley News Report,"The evening news reports unusual events occurring, such as owls flying during the day and sightings of shooting stars, confirming that something extraordinary is happening.",6.0,Turning Point,,,,house,INT,night,-0.10000000149011612,['maagnitude']
21,21,1,"Mrs. Dursley came into the living room carrying two cups of tea. It was no good. He'd have to say something to her. He cleared his throat nervously. 'Er -- Petunia, dear -- you haven't heard from your sister lately, have you?' As he had expected, Mrs. Dursley looked shocked and angry. After all, they normally pretended she didn't have a sister.",Dursleys' Dinner Conversation,"Mr. Dursley nervously brings up the Potters during dinner with Mrs. Dursley, highlighting the tension and fear surrounding their family’s secret.",5.0,Rising Action,Statement,He nervously asked Mrs. Dursley about her sister.,Mr. Dursley,house,INT,night,-0.30000001192092896,['maagnitude']
22,22,1,"'No,' she said sharply. 'Why?'",Dursleys' Dinner Conversation,"Mr. Dursley nervously brings up the Potters during dinner with Mrs. Dursley, highlighting the tension and fear surrounding their family’s secret.",5.0,Rising Action,Statement,She reacted against Mr. Dursley's inquiry about her sister.,Mrs. Dursley,,,,-0.10000000149011612,['maagnitude']
23,23,1,"'Funny stuff on the news,' Mr. Dursley mumbled. 'Owls... shooting stars... and there were a lot of funny-looking people in town today...'",Dursleys' Dinner Conversation,"Mr. Dursley nervously brings up the Potters during dinner with Mrs. Dursley, highlighting the tension and fear surrounding their family’s secret.",5.0,Rising Action,,,,,,,0.4000000059604645,['maagnitude']
24,24,1,'So?' snapped Mrs. Dursley.,Dursleys' Dinner Conversation,"Mr. Dursley nervously brings up the Potters during dinner with Mrs. Dursley, highlighting the tension and fear surrounding their family’s secret.",5.0,Rising Action,,,,,,,-0.20000000298023224,['maagnitude']
25,25,1,"'Well, I just thought... maybe... it was something to do with... you know... her crowd.' Mrs. Dursley sipped her tea through pursed lips. Mr. Dursley wondered whether he dared tell her he'd heard the name 'Potter.' He decided he didn't dare. Instead he said, as casually as he could, 'Their son -- he'd be about Dudley's age now, wouldn't he?'",Dursleys' Dinner Conversation,"Mr. Dursley nervously brings up the Potters during dinner with Mrs. Dursley, highlighting the tension and fear surrounding their family’s secret.",5.0,Rising Action,Statement,Mr. Dursley thought about Dudley and his potential connection to Harry.,Dudley Dursley,,,,-0.10000000149011612,['maagnitude']
26,26,1,"'I suppose so,' said Mrs. Dursley stiffly.",,,,,,,,,,,0.0,['maagnitude']
27,27,1,"'What's his name again? Howard, isn't it?'",,,,,,,,,,,-0.10000000149011612,['maagnitude']
28,28,1,"'Harry. Nasty, common name, if you ask me.'",,,,,Statement,She described the name 'Harry' as nasty and common.,Mrs. Dursley,,,,-0.10000000149011612,['maagnitude']
29,29,1,"'Oh, yes,' said Mr. Dursley, his heart sinking horribly. 'Yes, I quite agree.' He didn't say another word on the subject as they went upstairs to bed. While Mrs. Dursley was in the bathroom, Mr. Dursley crept to the bedroom window and peered down into the front garden. The cat was still there. It was staring down Privet Drive as though it were waiting for something.",,,,,,,,,,,-0.30000001192092896,['maagnitude']
30,30,1,"Was he imagining things? Could all this have anything to do with the Potters? If it did... if it got out that they were related to a pair of -- well, he didn't think he could bear it.",,,,,,,,,,,-0.20000000298023224,['maagnitude']
31,31,1,"The Dursleys got into bed. Mrs. Dursley fell asleep quickly but Mr. Dursley lay awake, turning it all over in his mind. His last, comforting thought before he fell asleep was that even if the Potters were involved, there was no reason for them to come near him and Mrs. Dursley. The Potters knew very well what he and Petunia thought about them and their kind.... He couldn't see how he and Petunia could get mixed up in anything that might be going on -- he yawned and turned over -- it couldn't affect them....",,,,,,,,,,,0.0,['maagnitude']
32,32,1,How very wrong he was.,,,,,,,,,,,-0.699999988079071,['maagnitude']
33,33,1,"Mr. Dursley might have been drifting into an uneasy sleep, but the cat on the wall outside was showing no sign of sleepiness. It was sitting as still as a statue, its eyes fixed unblinkingly on the far corner of Privet Drive. It didn't so much as quiver when a car door slammed on the next street, nor when two owls swooped overhead. In fact, it was nearly midnight before the cat moved at all.",,,,,,,,street,EXT,night,-0.4000000059604645,['maagnitude']
34,34,1,"A man appeared on the corner the cat had been watching, appeared so suddenly and silently you'd have thought he'd just popped out of the ground. The cat's tail twitched and its eyes narrowed.",,,,,,,,street,EXT,night,-0.30000001192092896,['maagnitude']
35,35,1,"Nothing like this man had ever been seen on Privet Drive. He was tall, thin, and very old, judging by the silver of his hair and beard, which were both long enough to tuck into his belt. He was wearing long robes, a purple cloak that swept the ground, and high-heeled, buckled boots. His blue eyes were light, bright, and sparkling behind half-moon spectacles and his nose was very long and crooked, as though it had been broken at least twice. This man's name was Albus Dumbledore.",Arrival of Dumbledore and McGonagall,"Dumbledore and Professor McGonagall meet outside of Privet Drive, discussing the recent events surrounding Voldemort and Harry Potter, bringing the magical world to the forefront.",7.0,Climax,Action,"Dumbledore appeared on Privet Drive, looking for something and amused by a cat.",Albus Dumbledore,street,EXT,night,-0.20000000298023224,['maagnitude']
36,36,1,"Albus Dumbledore didn't seem to realize that he had just arrived in a street where everything from his name to his boots was unwelcome. He was busy rummaging in his cloak, looking for something. But he did seem to realize he was being watched, because he looked up suddenly at the cat, which was still staring at him from the other end of the street. For some reason, the sight of the cat seemed to amuse him. He chuckled and muttered, 'I should have known.' He found what he was looking for in his inside pocket. It seemed to be a silver cigarette lighter. He flicked it open, held it up in the air, and clicked it. The nearest street lamp went out with a little pop. He clicked it again -- the next lamp flickered into darkness. Twelve times he clicked the Put-Outer, until the only lights left on the whole street were two tiny pinpricks in the distance, which were the eyes of the cat watching him. If anyone looked out of their window now, even beady-eyed Mrs. Dursley, they wouldn't be able to see anything that was happening down on the pavement. Dumbledore slipped the Put-Outer back inside his cloak and set off down the street toward number four, where he sat down on the wall next to the cat. He didn't look at it, but after a moment he spoke to it.",Arrival of Dumbledore and McGonagall,"Dumbledore and Professor McGonagall meet outside of Privet Drive, discussing the recent events surrounding Voldemort and Harry Potter, bringing the magical world to the forefront.",7.0,Climax,,,,street,EXT,night,-0.10000000149011612,['maagnitude']
37,37,1,"'Fancy seeing you here, Professor McGonagall.'",Arrival of Dumbledore and McGonagall,"Dumbledore and Professor McGonagall meet outside of Privet Drive, discussing the recent events surrounding Voldemort and Harry Potter, bringing the magical world to the forefront.",7.0,Climax,,,,street,EXT,night,0.0,['maagnitude']
38,38,1,"He turned to smile at the tabby, but it had gone. Instead he was smiling at a rather severe-looking woman who was wearing square glasses exactly the shape of the markings the cat had had around its eyes. She, too, was wearing a cloak, an emerald one. Her black hair was drawn into a tight bun. She looked distinctly ruffled.",Arrival of Dumbledore and McGonagall,"Dumbledore and Professor McGonagall meet outside of Privet Drive, discussing the recent events surrounding Voldemort and Harry Potter, bringing the magical world to the forefront.",7.0,Climax,Action,She transform from a cat to a woman and confronted Dumbledore.,Professor McGonagall,street,EXT,night,-0.5,['maagnitude']
39,39,1,'How did you know it was me?' she asked.,Arrival of Dumbledore and McGonagall,"Dumbledore and Professor McGonagall meet outside of Privet Drive, discussing the recent events surrounding Voldemort and Harry Potter, bringing the magical world to the forefront.",7.0,Climax,,,,street,EXT,night,-0.20000000298023224,['maagnitude']
40,40,1,"'My dear Professor, I 've never seen a cat sit so stiffly.'",,,,,,,,street,EXT,night,0.10000000149011612,['maagnitude']
41,41,1,"'You'd be stiff if you'd been sitting on a brick wall all day,' said Professor McGonagall.",,,,,,,,street,EXT,night,-0.6000000238418579,['maagnitude']
42,42,1,'All day? When you could have been celebrating? I must have passed a dozen feasts and parties on my way here.',,,,,,,,street,EXT,night,0.0,['maagnitude']
43,43,1,"Professor McGonagall sniffed angrily. 'Oh yes, everyone's celebrating, all right,' she said impatiently. 'You'd think they'd be a bit more careful, but no -- even the Muggles have noticed something's going on. It was on their news.' She jerked her head back at the Dursleys' dark living-room window. 'I heard it. Flocks of owls... shooting stars.... Well, they're not completely stupid. They were bound to notice something. Shooting stars down in Kent -- I'll bet that was Dedalus Diggle. He never had much sense.'",,,,,Statement,Harry expresses concern about danger coming based on his scar.,Harry Potter,street,EXT,night,-0.20000000298023224,['maagnitude']
44,44,1,"'You can't blame them,' said Dumbledore gently. 'We've had precious little to celebrate for eleven years.'",,,,,,,,street,EXT,night,0.10000000149011612,['maagnitude']
45,45,1,"'I know that,' said Professor McGonagall irritably. 'But that's no reason to lose our heads. People are being downright careless, out on the streets in broad daylight, not even dressed in Muggle clothes, swapping rumors.'",,,,,,,,street,EXT,night,-0.4000000059604645,['maagnitude']
46,46,1,"She threw a sharp, sideways glance at Dumbledore here, as though hoping he was going to tell her something, but he didn't, so she went on. 'A fine thing it would be if, on the very day YouKnow-Who seems to have disappeared at last, the Muggles found out about us all. I suppose he really has gone, Dumbledore?' 'It certainly seems so,' said Dumbledore. 'We have much to be thankful for. Would you care for a lemon drop?'",,,,,,,,street,EXT,night,-0.10000000149011612,['maagnitude']
47,47,1,'A what?' 'A lemon drop. They're a kind of Muggle sweet I'm rather fond of',,,,,,,,street,EXT,night,0.10000000149011612,['maagnitude']
48,48,1,"'No, thank you,' said Professor McGonagall coldly, as though she didn't think this was the moment for lemon drops. 'As I say, even if You-Know-Who has gone -'",,,,,,,,street,EXT,night,-0.30000001192092896,['maagnitude']
49,49,1,"'My dear Professor, surely a sensible person like yourself can call him by his name? All this 'You- Know-Who' nonsense -- for eleven years I have been trying to persuade people to call him by his proper name: Voldemort.' Professor McGonagall flinched, but Dumbledore, who was unsticking two lemon drops, seemed not to notice. 'It all gets so confusing if we keep saying 'You-Know-Who.' I have never seen any reason to be frightened of saying Voldemort's name.",,,,,Statement,Ron expresses disbelief about Harry's fears of Snape.,Ron Weasley,street,EXT,night,-0.4000000059604645,['maagnitude']
50,50,1,"'I know you haven 't, said Professor McGonagall, sounding half exasperated, half admiring. 'But you're different. Everyone knows you're the only one You-Know- oh, all right, Voldemort, was frightened of.'",,,,,,,,street,EXT,night,-0.20000000298023224,['maagnitude']
51,51,1,"'You flatter me,' said Dumbledore calmly. 'Voldemort had powers I will never have.'",,,,,,,,street,EXT,night,-0.10000000149011612,['maagnitude']
52,52,1,'Only because you're too -- well -- noble to use them.',,,,,,,,street,EXT,night,0.10000000149011612,['maagnitude']
53,53,1,'It's lucky it's dark. I haven't blushed so much since Madam Pomfrey told me she liked my new earmuffs.',,,,,,,,street,EXT,night,0.20000000298023224,['maagnitude']
54,54,1,"Professor McGonagall shot a sharp look at Dumbledore and said, 'The owls are nothing next to the rumors that are flying around. You know what everyone's saying? About why he's disappeared? About what finally stopped him?'",,,,,,,,street,EXT,night,-0.30000001192092896,['maagnitude']
55,55,1,"It seemed that Professor McGonagall had reached the point she was most anxious to discuss, the real reason she had been waiting on a cold, hard wall all day, for neither as a cat nor as a woman had she fixed Dumbledore with such a piercing stare as she did now. It was plain that whatever 'everyone' was saying, she was not going to believe it until Dumbledore told her it was true. Dumbledore, however, was choosing another lemon drop and did not answer.",,,,,,,,street,EXT,night,-0.5,['maagnitude']
56,56,1,"'What they're saying,' she pressed on, 'is that last night Voldemort turned up in Godric's Hollow. He went to find the Potters. The rumor is that Lily and James Potter are -- are -- that they're -- dead. ' Dumbledore bowed his head. Professor McGonagall gasped.",Revelation of the Potters' Fate,"Professor McGonagall reveals that Lily and James Potter have been killed and that their son, Harry, is somehow connected to Voldemort's downfall, heightening the stakes.",7.0,Turning Point,Statement,She expressed disbelief about the Potters being dead.,Professor McGonagall,street,EXT,night,-0.20000000298023224,['maagnitude']
57,57,1,"'Lily and James... I can't believe it... I didn't want to believe it... Oh, Albus...' Dumbledore reached out and patted her on the shoulder. 'I know... I know...' he said heavily.",Revelation of the Potters' Fate,"Professor McGonagall reveals that Lily and James Potter have been killed and that their son, Harry, is somehow connected to Voldemort's downfall, heightening the stakes.",7.0,Turning Point,,,,street,EXT,night,-0.10000000149011612,['maagnitude']
58,58,1,"Professor McGonagall's voice trembled as she went on. 'That's not all. They're saying he tried to kill the Potter's son, Harry. But -- he couldn't. He couldn't kill that little boy. No one knows why, or how, but they're saying that when he couldn't kill Harry Potter, Voldemort's power somehow broke -- and that's why he's gone.",Revelation of the Potters' Fate,"Professor McGonagall reveals that Lily and James Potter have been killed and that their son, Harry, is somehow connected to Voldemort's downfall, heightening the stakes.",7.0,Turning Point,,,,street,EXT,night,-0.5,['maagnitude']
59,59,1,Dumbledore nodded glumly.,,,,,,,,street,EXT,night,0.0,['maagnitude']
60,60,1,'It's -- it's true?' faltered Professor McGonagall. 'After all he's done... all the people he's killed... he couldn't kill a little boy? It's just astounding... of all the things to stop him... but how in the name of heaven did Harry survive?',,,,,,,,street,EXT,night,-0.10000000149011612,['maagnitude']
61,61,1,"'We can only guess,' said Dumbledore. 'We may never know.'",,,,,,,,street,EXT,night,-0.20000000298023224,['maagnitude']
62,62,1,"Professor McGonagall pulled out a lace handkerchief and dabbed at her eyes beneath her spectacles. Dumbledore gave a great sniff as he took a golden watch from his pocket and examined it. It was a very odd watch. It had twelve hands but no numbers; instead, little planets were moving around the edge. It must have made sense to Dumbledore, though, because he put it back in his pocket and said, 'Hagrid's late. I suppose it was he who told you I'd be here, by the way?'",,,,,,,,street,EXT,night,-0.20000000298023224,['maagnitude']
63,63,1,"'Yes,' said Professor McGonagall. 'And I don't suppose you're going to tell me why you're here, of all places?'",,,,,,,,street,EXT,night,-0.30000001192092896,['maagnitude']
64,64,1,'I've come to bring Harry to his aunt and uncle. They're the only family he has left now.',,,,,,,,street,EXT,night,-0.20000000298023224,['maagnitude']
65,65,1,"'You don't mean -- you can't mean the people who live here?' cried Professor McGonagall, jumping to her feet and pointing at number four. 'Dumbledore -- you can't. I've been watching them all day. You couldn't find two people who are less like us. And they've got this son -- I saw him kicking his mother all the way up the street, screaming for sweets. Harry Potter come and live here!'",,,,,Statement,She strongly opposed the idea of Harry living with the Dursleys.,Professor McGonagall,street,EXT,night,-0.10000000149011612,['maagnitude']
66,66,1,"'It's the best place for him,' said Dumbledore firmly. 'His aunt and uncle will be able to explain everything to him when he's older. I've written them a letter.'",,,,,,,,street,EXT,night,0.30000001192092896,['maagnitude']
67,67,1,"'A letter?' repeated Professor McGonagall faintly, sitting back down on the wall. 'Really, Dumbledore, you think you can explain all this in a letter? These people will never understand him! He'll be famous -- a legend -- I wouldn't be surprised if today was known as Harry Potter day in the future -- there will be books written about Harry -- every child in our world will know his name!'",,,,,,,,street,EXT,night,-0.20000000298023224,['maagnitude']
68,68,1,"'Exactly,' said Dumbledore, looking very seriously over the top of his half-moon glasses. 'It would be enough to turn any boy's head. Famous before he can walk and talk! Famous for something he won't even remember! CarA you see how much better off he'll be, growing up away from all that until he's ready to take it?' Professor McGonagall opened her mouth, changed her mind, swallowed, and then said, 'Yes -- yes, you're right, of course. But how is the boy getting here, Dumbledore?' She eyed his cloak suddenly as though she thought he might be hiding Harry underneath it.",,,,,,,,street,EXT,night,0.0,['maagnitude']
69,69,1,'Hagrid's bringing him.' 'You think it -- wise -- to trust Hagrid with something as important as this?',,,,,,,,street,EXT,night,-0.10000000149011612,['maagnitude']
70,70,1,"I would trust Hagrid with my life,' said Dumbledore.",,,,,Action,Snape warns Harry about nighttime wanderings.,Severus Snape,street,EXT,night,0.6000000238418579,['maagnitude']
71,71,1,"'I'm not saying his heart isn't in the right place,' said Professor McGonagall grudgingly, 'but you can't pretend he's not careless. He does tend to -- what was that?'",,,,,,,,street,EXT,night,-0.30000001192092896,['maagnitude']
72,72,1,A low rumbling sound had broken the silence around them. It grew steadily louder as they looked up and down the street for some sign of a headlight; it swelled to a roar as they both looked up at the sky -- and a huge motorcycle fell out of the air and landed on the road in front of them.,,,,,,,,street,EXT,night,-0.30000001192092896,['maagnitude']
73,73,1,"If the motorcycle was huge, it was nothing to the man sitting astride it. He was almost twice as tall as a normal man and at least five times as wide. He looked simply too big to be allowed, and so wild - long tangles of bushy black hair and beard hid most of his face, he had hands the size of trash can lids, and his feet in their leather boots were like baby dolphins. In his vast, muscular arms he was holding a bundle of blankets.",Hagrid Brings Harry,"Hagrid arrives with baby Harry Potter on a motorcycle, solidifying Harry's significance and foreshadowing his important role in the magical world.",7.0,Resolution,Action,"He arrived on a motorcycle, carrying a bundle that contained baby Harry.",Rubeus Hagrid,street,EXT,night,-0.5,['maagnitude']
74,74,1,"'Hagrid,' said Dumbledore, sounding relieved. 'At last. And where did you get that motorcycle?'",Hagrid Brings Harry,"Hagrid arrives with baby Harry Potter on a motorcycle, solidifying Harry's significance and foreshadowing his important role in the magical world.",7.0,Resolution,Action,"McGonagall carries a large pile of books, confronting Harry and his friends.",Professor McGonagall,street,EXT,night,0.0,['maagnitude']
75,75,1,"'Borrowed it, Professor Dumbledore, sit,' said the giant, climbing carefully off the motorcycle as he spoke. 'Young Sirius Black lent it to me. I've got him, sir.'",Hagrid Brings Harry,"Hagrid arrives with baby Harry Potter on a motorcycle, solidifying Harry's significance and foreshadowing his important role in the magical world.",7.0,Resolution,,,,street,EXT,night,0.0,['maagnitude']
76,76,1,"'No problems, were there?'",Hagrid Brings Harry,"Hagrid arrives with baby Harry Potter on a motorcycle, solidifying Harry's significance and foreshadowing his important role in the magical world.",7.0,Resolution,,,,street,EXT,night,0.10000000149011612,['maagnitude']
