,_Index,Chapter,Content,Word_Count,Text_Length,Location,LocationType,Time,Event,ESummary,EImportance,CTag,CText,Character,ERole,reduce_distance,reduce_distance_stack,x_reduce,y_reduce,cluster
10,10,1,"Down, down, down. There was nothing else to do, so Alice soon began talking again. “Dinah’ll miss me very much to-night, I should think!” (Dinah was the cat.) “I hope they’ll remember her saucer of milk at tea-time. Dinah my dear! I wish you were down here with me! There are no mice in the air, I’m afraid, but you might catch a bat, and that’s very like a mouse, you know. But do cats eat bats, I wonder?” And here Alice began to get rather sleepy, and went on saying to herself, in a dreamy sort of way, “Do cats eat bats? Do cats eat bats?” and sometimes, “Do bats eat cats?” for, you see, as she couldn’t answer either question, it didn’t much matter which way she put it. She felt that she was dozing off, and had just begun to dream that she was walking hand in hand with Dinah, and saying to her very earnestly, “Now, Dinah, tell me the truth: did you ever eat a bat?” when suddenly, thump! thump! down she came upon a heap of sticks and dry leaves, and the fall was over.",191,980,well,INT,night,Alice's fall down the rabbit-hole,"Alice experiences a surreal and prolonged fall through the rabbit-hole, providing her time to reflect and wonder about her journey ahead. This scene emphasizes the whimsical nature of her adventure.",7.0,Statement,"Alice thinks of her cat, Dinah, while falling.",Alice,Setup,0.058004431426525116,0.7907455079257488,2.4885428,0.20325907,2
11,11,1,"Alice was not a bit hurt, and she jumped up on to her feet in a moment: she looked up, but it was all dark overhead; before her was another long passage, and the White Rabbit was still in sight, hurrying down it. There was not a moment to be lost: away went Alice like the wind, and was just in time to hear it say, as it turned a corner, “Oh my ears and whiskers, how late it’s getting!” She was close behind it when she turned the corner, but the Rabbit was no longer to be seen: she found herself in a long, low hall, which was lit up by a row of lamps hanging from the roof.",120,578,hall,INT,night,Alice discovers the long hall,"After her fall, Alice arrives in a long hall with locked doors, where she faces immediate obstacles that hinder her escape, enhancing the sense of entrapment and the need for creativity to move forward.",6.0,Action,The Rabbit is heard exclaiming about being late while rushing down a passage.,White Rabbit,Inciting Incident,0.11878485232591629,0.9095303602516651,2.3862624,0.26366243,-1
12,12,1,"There were doors all round the hall, but they were all locked; and when Alice had been all the way down one side and up the other, trying every door, she walked sadly down the middle, wondering how she was ever to get out again.",45,228,hall,INT,night,Alice discovers the long hall,"After her fall, Alice arrives in a long hall with locked doors, where she faces immediate obstacles that hinder her escape, enhancing the sense of entrapment and the need for creativity to move forward.",6.0,Action,Alice explores a long hall and attempts to open locked doors.,Alice,Inciting Incident,0.16774696111679077,1.0772773213684559,2.2186022,0.258269,-1
13,13,1,"Suddenly she came upon a little three-legged table, all made of solid glass; there was nothing on it except a tiny golden key, and Alice’s first thought was that it might belong to one of the doors of the hall; but, alas! either the locks were too large, or the key was too small, but at any rate it would not open any of them. However, on the second time round, she came upon a low curtain she had not noticed before, and behind it was a little door about fifteen inches high: she tried the little golden key in the lock, and to her great delight it fitted!",109,558,table,INT,night,Finding the golden key,"Alice discovers a tiny key on a glass table, realizing it might unlock the door to the garden. However, it does not fit the doors, deepening the challenge she must overcome.",5.0,Action,Alice finds a tiny golden key and discovers a small door.,Alice,Turning Point,0.1040681004524231,1.181345421820879,2.1146898,0.2525776,-1
14,14,1,"Alice opened the door and found that it led into a small passage, not much larger than a rat-hole: she knelt down and looked along the passage into the loveliest garden you ever saw. How she longed to get out of that dark hall, and wander about among those beds of bright flowers and those cool fountains, but she could not even get her head through the doorway; “and even if my head would go through,” thought poor Alice, “it would be of very little use without my shoulders. Oh, how I wish I could shut up like a telescope! I think I could, if I only knew how to begin.” For, you see, so many out-of-the-way things had happened lately, that Alice had begun to think that very few things indeed were really impossible.",135,719,hall,INT,night,Alice contemplates her size,"Alice expresses her wish to be smaller to fit through the tiny door, showcasing her desire for freedom and her struggle with the constraints of her seemingly ordinary existence.",6.0,,,,Setup,0.1479073315858841,1.329252753406763,1.970305,0.22049041,3
15,15,1,"There seemed to be no use in waiting by the little door, so she went back to the table, half hoping she might find another key on it, or at any rate a book of rules for shutting people up like telescopes: this time she found a little bottle on it, (“which certainly was not here before,” said Alice,) and round the neck of the bottle was a paper label, with the words “DRINK ME,” beautifully printed on it in large letters.",82,423,hall,INT,night,Alice finds the 'Drink Me' bottle,"Alice finds a bottle labeled 'Drink Me' and, after careful consideration, decides to drink it, leading to her shrinking in size. This act serves as a critical moment that propels her into the adventure.",7.0,Action,Alice finds a bottle labelled 'DRINK ME' and deliberates whether to drink it.,Alice,Turning Point,0.08683440089225769,1.4160871542990208,1.8838564,0.2286673,3
16,16,1,"It was all very well to say “Drink me,” but the wise little Alice was not going to do _that_ in a hurry. “No, I’ll look first,” she said, “and see whether it’s marked ‘_poison_’ or not”; for she had read several nice little histories about children who had got burnt, and eaten up by wild beasts and other unpleasant things, all because they _would_ not remember the simple rules their friends had taught them: such as, that a red-hot poker will burn you if you hold it too long; and that if you cut your finger _very_ deeply with a knife, it usually bleeds; and she had never forgotten that, if you drink much from a bottle marked “poison,” it is almost certain to disagree with you, sooner or later.",131,701,hall,INT,night,Alice finds the 'Drink Me' bottle,"Alice finds a bottle labeled 'Drink Me' and, after careful consideration, decides to drink it, leading to her shrinking in size. This act serves as a critical moment that propels her into the adventure.",7.0,,,,Turning Point,0.0806174948811531,1.4967046491801739,1.811962,0.192193,3
17,17,1,"However, this bottle was _not_ marked “poison,” so Alice ventured to taste it, and finding it very nice, (it had, in fact, a sort of mixed flavour of cherry-tart, custard, pine-apple, roast turkey, toffee, and hot buttered toast,) she very soon finished it off.",44,261,hall,INT,night,Alice finds the 'Drink Me' bottle,"Alice finds a bottle labeled 'Drink Me' and, after careful consideration, decides to drink it, leading to her shrinking in size. This act serves as a critical moment that propels her into the adventure.",7.0,,,,Turning Point,0.07691092789173126,1.5736155770719051,1.7501096,0.23790476,3
18,18,1,“What a curious feeling!” said Alice; “I must be shutting up like a telescope.”,14,79,hall,INT,night,Alice finds the 'Drink Me' bottle,"Alice finds a bottle labeled 'Drink Me' and, after careful consideration, decides to drink it, leading to her shrinking in size. This act serves as a critical moment that propels her into the adventure.",7.0,Statement,Alice notes a curious feeling after drinking from the bottle.,Alice,Turning Point,0.06949102878570557,1.6431066058576107,1.6829033,0.2555774,3
19,19,1,"And so it was indeed: she was now only ten inches high, and her face brightened up at the thought that she was now the right size for going through the little door into that lovely garden. First, however, she waited for a few minutes to see if she was going to shrink any further: she felt a little nervous about this; “for it might end, you know,” said Alice to herself, “in my going out altogether, like a candle. I wonder what I should be like then?” And she tried to fancy what the flame of a candle is like after the candle is blown out, for she could not remember ever having seen such a thing.",118,600,hall,INT,night,Alice's conflicting emotions about her size,"After drinking, Alice worries about the possibility of shrinking too much or becoming lost in the process, reflecting her uncertainty and growth as she navigates this strange world.",5.0,Statement,Alice expresses excitement about being the right size to go through the little door into a lovely garden.,Alice,Turning Point,0.03891667723655701,1.6820232830941677,1.6616851,0.28820094,3
20,20,1,"After a while, finding that nothing more happened, she decided on going into the garden at once; but, alas for poor Alice! when she got to the door, she found she had forgotten the little golden key, and when she went back to the table for it, she found she could not possibly reach it: she could see it quite plainly through the glass, and she tried her best to climb up one of the legs of the table, but it was too slippery; and when she had tired herself out with trying, the poor little thing sat down and cried.",101,516,hall,INT,night,Alice attempts to enter the garden,"After shrinking, Alice excitedly approaches the little door to the garden but realizes she has forgotten the key. This moment highlights her frustration and sets up the next challenge she will face.",6.0,Action,Alice realizes she forgot the key after shrinking down to a smaller size.,Alice,Climax,0.07014709711074829,1.752170380204916,1.5918019,0.2821223,3
21,21,1,"“Come, there’s no use in crying like that!” said Alice to herself, rather sharply; “I advise you to leave off this minute!” She generally gave herself very good advice, (though she very seldom followed it), and sometimes she scolded herself so severely as to bring tears into her eyes; and once she remembered trying to box her own ears for having cheated herself in a game of croquet she was playing against herself, for this curious child was very fond of pretending to be two people. “But it’s no use now,” thought poor Alice, “to pretend to be two people! Why, there’s hardly enough of me left to make _one_ respectable person!”",112,632,table,INT,night,Alice finds the 'EAT ME' cake,"Desperate to enter the garden, Alice discovers a cake labeled 'EAT ME' and decides to eat it, hoping it will change her size and allow her access.",5.0,Action,Alice tries to give herself advice and scolds herself for crying out of frustration.,Alice,Climax,0.08679959923028946,1.8389699794352055,1.5082432,0.25862512,3
22,22,1,"Soon her eye fell on a little glass box that was lying under the table: she opened it, and found in it a very small cake, on which the words “EAT ME” were beautifully marked in currants. “Well, I’ll eat it,” said Alice, “and if it makes me grow larger, I can reach the key; and if it makes me grow smaller, I can creep under the door; so either way I’ll get into the garden, and I don’t care which happens!”",82,407,table,INT,night,Alice discovers the 'Eat Me' cake,"Alice finds a cake that promises to alter her size. This symbolizes her continued exploration of identity and agency as she bravely decides to eat it, regardless of the uncertainty it brings.",6.0,Action,Alice finds a cake labelled 'EAT ME' and decides to eat it.,Alice,Resolution,0.03616216406226158,1.875132143497467,1.50223,0.29428384,3
23,23,1,"She ate a little bit, and said anxiously to herself, “Which way? Which way?”, holding her hand on the top of her head to feel which way it was growing, and she was quite surprised to find that she remained the same size: to be sure, this generally happens when one eats cake, but Alice had got so much into the way of expecting nothing but out-of-the-way things to happen, that it seemed quite dull and stupid for life to go on in the common way.",86,446,table,INT,night,Alice discovers the 'Eat Me' cake,"Alice finds a cake that promises to alter her size. This symbolizes her continued exploration of identity and agency as she bravely decides to eat it, regardless of the uncertainty it brings.",6.0,,,,Resolution,0.06654663383960724,1.9416787773370743,1.4670615,0.35077834,3
24,24,1,"So she set to work, and very soon finished off the cake.",12,56,table,INT,night,Alice discovers the 'Eat Me' cake,"Alice finds a cake that promises to alter her size. This symbolizes her continued exploration of identity and agency as she bravely decides to eat it, regardless of the uncertainty it brings.",6.0,,,,Resolution,0.12018128484487534,2.0618600621819496,1.354125,0.39187443,4
25,25,2,CHAPTER II. The Pool of Tears,6,29,castle,INT,day,Alice's Transformation,"Alice notices her body growing to an enormous height, leading her to express concern for her feet. This highlights her confusion and the absurdity of her situation.",5.0,Statement,Alice expresses her surprise at her changing size and wonders about her feet.,Alice,Setup,0.015919432044029236,2.077779494225979,1.3692272,0.3868392,4
26,26,2,"“Curiouser and curiouser!” cried Alice (she was so much surprised, that for the moment she quite forgot how to speak good English); “now I’m opening out like the largest telescope that ever was! Good-bye, feet!” (for when she looked down at her feet, they seemed to be almost out of sight, they were getting so far off). “Oh, my poor little feet, I wonder who will put on your shoes and stockings for you now, dears? I’m sure _I_ shan’t be able! I shall be a great deal too far off to trouble myself about you: you must manage the best way you can;—but I must be kind to them,” thought Alice, “or perhaps they won’t walk the way I want to go! Let me see: I’ll give them a new pair of boots every Christmas.”",136,707,castle,INT,day,Alice's Transformation,"Alice notices her body growing to an enormous height, leading her to express concern for her feet. This highlights her confusion and the absurdity of her situation.",5.0,,,,Setup,0.06131164729595184,2.1390911415219307,1.4301981,0.3803842,4
27,27,2,"And she went on planning to herself how she would manage it. “They must go by the carrier,” she thought; “and how funny it’ll seem, sending presents to one’s own feet! And how odd the directions will look!",38,205,castle,INT,day,Alice's Transformation,"Alice notices her body growing to an enormous height, leading her to express concern for her feet. This highlights her confusion and the absurdity of her situation.",5.0,,,,Setup,0.06404688209295273,2.2031380236148834,1.3664807,0.3868727,4
28,28,2,"     _Alice’s Right Foot, Esq., Hearthrug, near the Fender,_ (_with      Alice’s love_).",21,88,castle,INT,day,Alice's Transformation,"Alice notices her body growing to an enormous height, leading her to express concern for her feet. This highlights her confusion and the absurdity of her situation.",5.0,,,,Setup,0.08529283851385117,2.2884308621287346,1.2849891,0.36169356,4
29,29,2,"Oh dear, what nonsense I’m talking!”",6,36,castle,INT,day,Alice's Transformation,"Alice notices her body growing to an enormous height, leading her to express concern for her feet. This highlights her confusion and the absurdity of her situation.",5.0,,,,Setup,0.08756662905216217,2.3759974911808968,1.2491003,0.28181922,4
30,30,2,"Just then her head struck against the roof of the hall: in fact she was now more than nine feet high, and she at once took up the little golden key and hurried off to the garden door.",38,183,castle,INT,day,Alice's Transformation,"Alice notices her body growing to an enormous height, leading her to express concern for her feet. This highlights her confusion and the absurdity of her situation.",5.0,,,,Setup,0.01044797245413065,2.3864454636350274,1.2399964,0.2766929,4
31,31,2,"Poor Alice! It was as much as she could do, lying down on one side, to look through into the garden with one eye; but to get through was more hopeless than ever: she sat down and began to cry again.",41,198,castle,INT,day,Alice's Tears Create a Pool,"Overwhelmed with emotions, Alice begins to cry and creates a large pool of tears around her. This event symbolizes her loneliness and frustration in this strange world.",6.0,Action,"Alice sits down to cry, creating a pool of tears around her.",Alice,Inciting Incident,0.05362934246659279,2.44007480610162,1.1994896,0.31183976,4
32,32,2,"“You ought to be ashamed of yourself,” said Alice, “a great girl like you,” (she might well say this), “to go on crying in this way! Stop this moment, I tell you!” But she went on all the same, shedding gallons of tears, until there was a large pool all round her, about four inches deep and reaching half down the hall.",62,320,castle,INT,day,Alice's Tears Create a Pool,"Overwhelmed with emotions, Alice begins to cry and creates a large pool of tears around her. This event symbolizes her loneliness and frustration in this strange world.",6.0,Statement,Alice reprimands herself for crying and tries to stop.,Alice,Inciting Incident,0.028539225459098816,2.468614031560719,1.2175273,0.33395603,4
33,33,2,"After a time she heard a little pattering of feet in the distance, and she hastily dried her eyes to see what was coming. It was the White Rabbit returning, splendidly dressed, with a pair of white kid gloves in one hand and a large fan in the other: he came trotting along in a great hurry, muttering to himself as he came, “Oh! the Duchess, the Duchess! Oh! won’t she be savage if I’ve kept her waiting!” Alice felt so desperate that she was ready to ask help of any one; so, when the Rabbit came near her, she began, in a low, timid voice, “If you please, sir—” The Rabbit started violently, dropped the white kid gloves and the fan, and skurried away into the darkness as hard as he could go.",134,696,castle,INT,day,The White Rabbit's Return,"The White Rabbit reappears, hurriedly muttering about the Duchess, causing Alice to desire assistance. When she tries to speak to him, he panics and runs away, emphasizing her isolation.",5.0,Action,"The White Rabbit rushes past Alice, dropping his gloves and fan in fright.",White Rabbit,Turning Point,0.03583478927612305,2.504448820836842,1.1995426,0.36495095,4
34,34,2,"Alice took up the fan and gloves, and, as the hall was very hot, she kept fanning herself all the time she went on talking: “Dear, dear! How queer everything is to-day! And yesterday things went on just as usual. I wonder if I’ve been changed in the night? Let me think: was I the same when I got up this morning? I almost think I can remember feeling a little different. But if I’m not the same, the next question is, Who in the world am I? Ah, _that’s_ the great puzzle!” And she began thinking over all the children she knew that were of the same age as herself, to see if she could have been changed for any of them.",123,620,castle,INT,day,Self-Identity Crisis,"Alice reflects on her identity, questioning if she has changed since her morning. This moment illustrates her confusion and quest for self-discovery amid the bizarre happenings.",7.0,Statement,The White Rabbit mutters about being late for the Duchess.,White Rabbit,Climax,0.12898680567741394,2.633435626514256,1.0784798,0.3204383,5
35,35,2,"“I’m sure I’m not Ada,” she said, “for her hair goes in such long ringlets, and mine doesn’t go in ringlets at all; and I’m sure I can’t be Mabel, for I know all sorts of things, and she, oh! she knows such a very little! Besides, _she’s_ she, and _I’m_ I, and—oh dear, how puzzling it all is! I’ll try if I know all the things I used to know. Let me see: four times five is twelve, and four times six is thirteen, and four times seven is—oh dear! I shall never get to twenty at that rate! However, the Multiplication Table doesn’t signify: let’s try Geography. London is the capital of Paris, and Paris is the capital of Rome, and Rome—no, _that’s_ all wrong, I’m certain! I must have been changed for Mabel! I’ll try and say ‘_How doth the little_—’” and she crossed her hands on her lap as if she were saying lessons, and began to repeat it, but her voice sounded hoarse and strange, and the words did not come the same as they used to do:—",183,943,castle,INT,day,Self-Identity Crisis,"Alice reflects on her identity, questioning if she has changed since her morning. This moment illustrates her confusion and quest for self-discovery amid the bizarre happenings.",7.0,,,,Climax,0.06791983544826508,2.701355461962521,1.0105991,0.3181309,5
36,36,2,"“How doth the little crocodile     Improve his shining tail, And pour the waters of the Nile     On every golden scale!",28,119,castle,INT,day,Self-Identity Crisis,"Alice reflects on her identity, questioning if she has changed since her morning. This moment illustrates her confusion and quest for self-discovery amid the bizarre happenings.",7.0,,,,Climax,0.029032256454229355,2.7303877184167504,1.0074168,0.2892736,5
37,37,2,"“How cheerfully he seems to grin,     How neatly spread his claws, And welcome little fishes in     With gently smiling jaws!”",28,126,castle,INT,day,Self-Identity Crisis,"Alice reflects on her identity, questioning if she has changed since her morning. This moment illustrates her confusion and quest for self-discovery amid the bizarre happenings.",7.0,,,,Climax,0.03545676916837692,2.7658444875851274,0.97339267,0.27929673,5
38,38,2,"“I’m sure those are not the right words,” said poor Alice, and her eyes filled with tears again as she went on, “I must be Mabel after all, and I shall have to go and live in that poky little house, and have next to no toys to play with, and oh! ever so many lessons to learn! No, I’ve made up my mind about it; if I’m Mabel, I’ll stay down here! It’ll be no use their putting their heads down and saying ‘Come up again, dear!’ I shall only look up and say ‘Who am I then? Tell me that first, and then, if I like being that person, I’ll come up: if not, I’ll stay down here till I’m somebody else’—but, oh dear!” cried Alice, with a sudden burst of tears, “I do wish they _would_ put their heads down! I am so _very_ tired of being all alone here!”",153,748,castle,INT,day,Self-Identity Crisis,"Alice reflects on her identity, questioning if she has changed since her morning. This moment illustrates her confusion and quest for self-discovery amid the bizarre happenings.",7.0,,,,Climax,0.05933881551027298,2.8251833030954003,0.9449699,0.22720794,5
39,39,2,"As she said this she looked down at her hands, and was surprised to see that she had put on one of the Rabbit’s little white kid gloves while she was talking. “How _can_ I have done that?” she thought. “I must be growing small again.” She got up and went to the table to measure herself by it, and found that, as nearly as she could guess, she was now about two feet high, and was going on shrinking rapidly: she soon found out that the cause of this was the fan she was holding, and she dropped it hastily, just in time to avoid shrinking away altogether.",109,556,castle,INT,day,Alice shrinks due to the rabbit's glove,"Accidentally putting on the White Rabbit's glove causes Alice to shrink, leading her to panic about her smaller size and the challenges she faces in reaching the garden again.",6.0,,,,Turning Point,0.0885697528719902,2.9137530559673905,0.86342704,0.1926339,5
40,40,2,"“That _was_ a narrow escape!” said Alice, a good deal frightened at the sudden change, but very glad to find herself still in existence; “and now for the garden!” and she ran with all speed back to the little door: but, alas! the little door was shut again, and the little golden key was lying on the glass table as before, “and things are worse than ever,” thought the poor child, “for I never was so small as this before, never! And I declare it’s too bad, that it is!”",90,471,castle,INT,day,Alice shrinks due to the rabbit's glove,"Accidentally putting on the White Rabbit's glove causes Alice to shrink, leading her to panic about her smaller size and the challenges she faces in reaching the garden again.",6.0,Action,"Alice falls into a pool of her own tears and swims around, trying to find a way out.",Alice,Turning Point,0.09561988711357117,3.0093729430809617,0.76787096,0.18914118,5
41,41,2,"As she said these words her foot slipped, and in another moment, splash! she was up to her chin in salt water. Her first idea was that she had somehow fallen into the sea, “and in that case I can go back by railway,” she said to herself. (Alice had been to the seaside once in her life, and had come to the general conclusion, that wherever you go to on the English coast you find a number of bathing machines in the sea, some children digging in the sand with wooden spades, then a row of lodging houses, and behind them a railway station.) However, she soon made out that she was in the pool of tears which she had wept when she was nine feet high.",128,650,castle,EXT,day,Alice in the Pool of Tears,"Alice finds herself swimming in the pool of her own tears, which she regrets. This represents the consequences of her overwhelming emotions and her feeling of being trapped.",6.0,,,,Resolution,0.049832601100206375,3.059205544181168,0.7258211,0.16239992,5
42,42,2,"“I wish I hadn’t cried so much!” said Alice, as she swam about, trying to find her way out. “I shall be punished for it now, I suppose, by being drowned in my own tears! That _will_ be a queer thing, to be sure! However, everything is queer to-day.”",49,249,castle,EXT,day,Alice in the Pool of Tears,"Alice finds herself swimming in the pool of her own tears, which she regrets. This represents the consequences of her overwhelming emotions and her feeling of being trapped.",6.0,,,,Resolution,0.11037890613079071,3.169584450311959,0.6154596,0.16436236,-1
43,43,2,"Just then she heard something splashing about in the pool a little way off, and she swam nearer to make out what it was: at first she thought it must be a walrus or hippopotamus, but then she remembered how small she was now, and she soon made out that it was only a mouse that had slipped in like herself.",61,306,castle,EXT,day,Meeting the Mouse,Alice encounters a Mouse in the pool and attempts to communicate. Her dialogues with the Mouse begin a new interaction that showcases her attempts to connect with others.,6.0,Action,"The Mouse slips into the pool of tears, surprising Alice.",Mouse,Setup,0.11404504626989365,3.2836294965818524,0.5016614,0.15686285,-1
44,44,2,"“Would it be of any use, now,” thought Alice, “to speak to this mouse? Everything is so out-of-the-way down here, that I should think very likely it can talk: at any rate, there’s no harm in trying.” So she began: “O Mouse, do you know the way out of this pool? I am very tired of swimming about here, O Mouse!” (Alice thought this must be the right way of speaking to a mouse: she had never done such a thing before, but she remembered having seen in her brother’s Latin Grammar, “A mouse—of a mouse—to a mouse—a mouse—O mouse!”) The Mouse looked at her rather inquisitively, and seemed to her to wink with one of its little eyes, but it said nothing.",123,652,castle,EXT,day,Meeting the Mouse,Alice encounters a Mouse in the pool and attempts to communicate. Her dialogues with the Mouse begin a new interaction that showcases her attempts to connect with others.,6.0,Action,Alice attempts to communicate with the Mouse she encounters in the pool of tears.,Alice,Setup,0.13149845600128174,3.415127952583134,0.37131205,0.17420885,6
45,45,2,"“Perhaps it doesn’t understand English,” thought Alice; “I daresay it’s a French mouse, come over with William the Conqueror.” (For, with all her knowledge of history, Alice had no very clear notion how long ago anything had happened.) So she began again: “Où est ma chatte?” which was the first sentence in her French lesson-book. The Mouse gave a sudden leap out of the water, and seemed to quiver all over with fright. “Oh, I beg your pardon!” cried Alice hastily, afraid that she had hurt the poor animal’s feelings. “I quite forgot you didn’t like cats.”",97,559,castle,EXT,day,Alice accidentally offends the Mouse,"In her attempts to converse and connect with the Mouse, Alice inadvertently offends it by mentioning cats, leading to a humorous misunderstanding and the Mouse swimming away.",6.0,,,,Conflict,0.07133384793996811,3.4864618005231023,0.30003792,0.17712708,6
46,46,2,"“Not like cats!” cried the Mouse, in a shrill, passionate voice. “Would _you_ like cats if you were me?”",19,104,castle,EXT,day,Alice accidentally offends the Mouse,"In her attempts to converse and connect with the Mouse, Alice inadvertently offends it by mentioning cats, leading to a humorous misunderstanding and the Mouse swimming away.",6.0,Statement,The Mouse expresses its strong dislike for cats.,Mouse,Conflict,0.022817617282271385,3.5092794178053737,0.288167,0.19661361,6
