,_Index,Chapter,Content,Word_Count,Text_Length,Location,LocationType,Time,Event,ESummary,EImportance,CTag,CText,Character,ERole,reduce_distance,reduce_distance_stack,x_reduce,y_reduce,cluster
10,10,1,"Down, down, down. There was nothing else to do, so Alice soon began talking again. “Dinah’ll miss me very much to-night, I should think!” (Dinah was the cat.) “I hope they’ll remember her saucer of milk at tea-time. Dinah my dear! I wish you were down here with me! There are no mice in the air, I’m afraid, but you might catch a bat, and that’s very like a mouse, you know. But do cats eat bats, I wonder?” And here Alice began to get rather sleepy, and went on saying to herself, in a dreamy sort of way, “Do cats eat bats? Do cats eat bats?” and sometimes, “Do bats eat cats?” for, you see, as she couldn’t answer either question, it didn’t much matter which way she put it. She felt that she was dozing off, and had just begun to dream that she was walking hand in hand with Dinah, and saying to her very earnestly, “Now, Dinah, tell me the truth: did you ever eat a bat?” when suddenly, thump! thump! down she came upon a heap of sticks and dry leaves, and the fall was over.",191,980,well,INT,night,Alice's fall down the rabbit-hole,"Alice experiences a surreal and prolonged fall through the rabbit-hole, providing her time to reflect and wonder about her journey ahead. This scene emphasizes the whimsical nature of her adventure.",7.0,Statement,"Alice thinks of her cat, Dinah, while falling.",Alice,Setup,0.0026686680811507193,0.1849216691935258,-0.1340689854480458,-0.019924622177513108,1
11,11,1,"Alice was not a bit hurt, and she jumped up on to her feet in a moment: she looked up, but it was all dark overhead; before her was another long passage, and the White Rabbit was still in sight, hurrying down it. There was not a moment to be lost: away went Alice like the wind, and was just in time to hear it say, as it turned a corner, “Oh my ears and whiskers, how late it’s getting!” She was close behind it when she turned the corner, but the Rabbit was no longer to be seen: she found herself in a long, low hall, which was lit up by a row of lamps hanging from the roof.",120,578,hall,INT,night,Alice discovers the long hall,"After her fall, Alice arrives in a long hall with locked doors, where she faces immediate obstacles that hinder her escape, enhancing the sense of entrapment and the need for creativity to move forward.",6.0,Action,The Rabbit is heard exclaiming about being late while rushing down a passage.,White Rabbit,Inciting Incident,0.020516285301555824,0.20543795449508162,-0.12018033438477353,-0.004824180653587335,1
12,12,1,"There were doors all round the hall, but they were all locked; and when Alice had been all the way down one side and up the other, trying every door, she walked sadly down the middle, wondering how she was ever to get out again.",45,228,hall,INT,night,Alice discovers the long hall,"After her fall, Alice arrives in a long hall with locked doors, where she faces immediate obstacles that hinder her escape, enhancing the sense of entrapment and the need for creativity to move forward.",6.0,Action,Alice explores a long hall and attempts to open locked doors.,Alice,Inciting Incident,0.009408216649186552,0.21484617114426818,-0.12176807085779073,0.004449094572042601,1
13,13,1,"Suddenly she came upon a little three-legged table, all made of solid glass; there was nothing on it except a tiny golden key, and Alice’s first thought was that it might belong to one of the doors of the hall; but, alas! either the locks were too large, or the key was too small, but at any rate it would not open any of them. However, on the second time round, she came upon a low curtain she had not noticed before, and behind it was a little door about fifteen inches high: she tried the little golden key in the lock, and to her great delight it fitted!",109,558,table,INT,night,Finding the golden key,"Alice discovers a tiny key on a glass table, realizing it might unlock the door to the garden. However, it does not fit the doors, deepening the challenge she must overcome.",5.0,Action,Alice finds a tiny golden key and discovers a small door.,Alice,Turning Point,0.006996675991507072,0.22184284713577526,-0.12243228394317113,-0.0025159823053034725,1
14,14,1,"Alice opened the door and found that it led into a small passage, not much larger than a rat-hole: she knelt down and looked along the passage into the loveliest garden you ever saw. How she longed to get out of that dark hall, and wander about among those beds of bright flowers and those cool fountains, but she could not even get her head through the doorway; “and even if my head would go through,” thought poor Alice, “it would be of very little use without my shoulders. Oh, how I wish I could shut up like a telescope! I think I could, if I only knew how to begin.” For, you see, so many out-of-the-way things had happened lately, that Alice had begun to think that very few things indeed were really impossible.",135,719,hall,INT,night,Alice contemplates her size,"Alice expresses her wish to be smaller to fit through the tiny door, showcasing her desire for freedom and her struggle with the constraints of her seemingly ordinary existence.",6.0,,,,Setup,0.01603750163567619,0.23788034877145145,-0.12571495878194436,0.013181963567236717,1
15,15,1,"There seemed to be no use in waiting by the little door, so she went back to the table, half hoping she might find another key on it, or at any rate a book of rules for shutting people up like telescopes: this time she found a little bottle on it, (“which certainly was not here before,” said Alice,) and round the neck of the bottle was a paper label, with the words “DRINK ME,” beautifully printed on it in large letters.",82,423,hall,INT,night,Alice finds the 'Drink Me' bottle,"Alice finds a bottle labeled 'Drink Me' and, after careful consideration, decides to drink it, leading to her shrinking in size. This act serves as a critical moment that propels her into the adventure.",7.0,Action,Alice finds a bottle labelled 'DRINK ME' and deliberates whether to drink it.,Alice,Turning Point,0.027489691391147937,0.2653700401625994,-0.1047113943061043,-0.004553126285644838,1
16,16,1,"It was all very well to say “Drink me,” but the wise little Alice was not going to do _that_ in a hurry. “No, I’ll look first,” she said, “and see whether it’s marked ‘_poison_’ or not”; for she had read several nice little histories about children who had got burnt, and eaten up by wild beasts and other unpleasant things, all because they _would_ not remember the simple rules their friends had taught them: such as, that a red-hot poker will burn you if you hold it too long; and that if you cut your finger _very_ deeply with a knife, it usually bleeds; and she had never forgotten that, if you drink much from a bottle marked “poison,” it is almost certain to disagree with you, sooner or later.",131,701,hall,INT,night,Alice finds the 'Drink Me' bottle,"Alice finds a bottle labeled 'Drink Me' and, after careful consideration, decides to drink it, leading to her shrinking in size. This act serves as a critical moment that propels her into the adventure.",7.0,,,,Turning Point,0.016864614840624563,0.282234655003224,-0.11875059816208011,-0.013897428764319633,1
17,17,1,"However, this bottle was _not_ marked “poison,” so Alice ventured to taste it, and finding it very nice, (it had, in fact, a sort of mixed flavour of cherry-tart, custard, pine-apple, roast turkey, toffee, and hot buttered toast,) she very soon finished it off.",44,261,hall,INT,night,Alice finds the 'Drink Me' bottle,"Alice finds a bottle labeled 'Drink Me' and, after careful consideration, decides to drink it, leading to her shrinking in size. This act serves as a critical moment that propels her into the adventure.",7.0,,,,Turning Point,0.013656498899781152,0.29589115390300513,-0.11040345485548887,-0.0030888599035058728,1
18,18,1,“What a curious feeling!” said Alice; “I must be shutting up like a telescope.”,14,79,hall,INT,night,Alice finds the 'Drink Me' bottle,"Alice finds a bottle labeled 'Drink Me' and, after careful consideration, decides to drink it, leading to her shrinking in size. This act serves as a critical moment that propels her into the adventure.",7.0,Statement,Alice notes a curious feeling after drinking from the bottle.,Alice,Turning Point,0.034006804225974074,0.3298979581289792,-0.13265925733781891,0.022623821588925834,1
19,19,1,"And so it was indeed: she was now only ten inches high, and her face brightened up at the thought that she was now the right size for going through the little door into that lovely garden. First, however, she waited for a few minutes to see if she was going to shrink any further: she felt a little nervous about this; “for it might end, you know,” said Alice to herself, “in my going out altogether, like a candle. I wonder what I should be like then?” And she tried to fancy what the flame of a candle is like after the candle is blown out, for she could not remember ever having seen such a thing.",118,600,hall,INT,night,Alice's conflicting emotions about her size,"After drinking, Alice worries about the possibility of shrinking too much or becoming lost in the process, reflecting her uncertainty and growth as she navigates this strange world.",5.0,Statement,Alice expresses excitement about being the right size to go through the little door into a lovely garden.,Alice,Turning Point,0.013460256451179575,0.3433582145801588,-0.1208547682390441,0.02909162962940045,1
20,20,1,"After a while, finding that nothing more happened, she decided on going into the garden at once; but, alas for poor Alice! when she got to the door, she found she had forgotten the little golden key, and when she went back to the table for it, she found she could not possibly reach it: she could see it quite plainly through the glass, and she tried her best to climb up one of the legs of the table, but it was too slippery; and when she had tired herself out with trying, the poor little thing sat down and cried.",101,516,hall,INT,night,Alice attempts to enter the garden,"After shrinking, Alice excitedly approaches the little door to the garden but realizes she has forgotten the key. This moment highlights her frustration and sets up the next challenge she will face.",6.0,Action,Alice realizes she forgot the key after shrinking down to a smaller size.,Alice,Climax,0.01266658893747713,0.35602480351763593,-0.13264032987857116,0.024450184579426645,1
21,21,1,"“Come, there’s no use in crying like that!” said Alice to herself, rather sharply; “I advise you to leave off this minute!” She generally gave herself very good advice, (though she very seldom followed it), and sometimes she scolded herself so severely as to bring tears into her eyes; and once she remembered trying to box her own ears for having cheated herself in a game of croquet she was playing against herself, for this curious child was very fond of pretending to be two people. “But it’s no use now,” thought poor Alice, “to pretend to be two people! Why, there’s hardly enough of me left to make _one_ respectable person!”",112,632,table,INT,night,Alice finds the 'EAT ME' cake,"Desperate to enter the garden, Alice discovers a cake labeled 'EAT ME' and decides to eat it, hoping it will change her size and allow her access.",5.0,Action,Alice tries to give herself advice and scolds herself for crying out of frustration.,Alice,Climax,0.014860027901405365,0.37088483141904127,-0.14195663818355417,0.03602718025175246,1
22,22,1,"Soon her eye fell on a little glass box that was lying under the table: she opened it, and found in it a very small cake, on which the words “EAT ME” were beautifully marked in currants. “Well, I’ll eat it,” said Alice, “and if it makes me grow larger, I can reach the key; and if it makes me grow smaller, I can creep under the door; so either way I’ll get into the garden, and I don’t care which happens!”",82,407,table,INT,night,Alice discovers the 'Eat Me' cake,"Alice finds a cake that promises to alter her size. This symbolizes her continued exploration of identity and agency as she bravely decides to eat it, regardless of the uncertainty it brings.",6.0,Action,Alice finds a cake labelled 'EAT ME' and decides to eat it.,Alice,Resolution,0.021744009335738973,0.3926288407547802,-0.12228005375623702,0.026773317962558624,1
23,23,1,"She ate a little bit, and said anxiously to herself, “Which way? Which way?”, holding her hand on the top of her head to feel which way it was growing, and she was quite surprised to find that she remained the same size: to be sure, this generally happens when one eats cake, but Alice had got so much into the way of expecting nothing but out-of-the-way things to happen, that it seemed quite dull and stupid for life to go on in the common way.",86,446,table,INT,night,Alice discovers the 'Eat Me' cake,"Alice finds a cake that promises to alter her size. This symbolizes her continued exploration of identity and agency as she bravely decides to eat it, regardless of the uncertainty it brings.",6.0,,,,Resolution,0.0066102261625160755,0.39923906691729627,-0.1188668214010727,0.03243414253228974,1
24,24,1,"So she set to work, and very soon finished off the cake.",12,56,table,INT,night,Alice discovers the 'Eat Me' cake,"Alice finds a cake that promises to alter her size. This symbolizes her continued exploration of identity and agency as she bravely decides to eat it, regardless of the uncertainty it brings.",6.0,,,,Resolution,0.01527097741704142,0.4145100443343377,-0.10969154618260187,0.04464139758562192,1
25,25,2,CHAPTER II. The Pool of Tears,6,29,castle,INT,day,Alice's Transformation,"Alice notices her body growing to an enormous height, leading her to express concern for her feet. This highlights her confusion and the absurdity of her situation.",5.0,Statement,Alice expresses her surprise at her changing size and wonders about her feet.,Alice,Setup,0.020868409200961585,0.43537845353529925,-0.10123440821890832,0.025563470024122174,1
26,26,2,"“Curiouser and curiouser!” cried Alice (she was so much surprised, that for the moment she quite forgot how to speak good English); “now I’m opening out like the largest telescope that ever was! Good-bye, feet!” (for when she looked down at her feet, they seemed to be almost out of sight, they were getting so far off). “Oh, my poor little feet, I wonder who will put on your shoes and stockings for you now, dears? I’m sure _I_ shan’t be able! I shall be a great deal too far off to trouble myself about you: you must manage the best way you can;—but I must be kind to them,” thought Alice, “or perhaps they won’t walk the way I want to go! Let me see: I’ll give them a new pair of boots every Christmas.”",136,707,castle,INT,day,Alice's Transformation,"Alice notices her body growing to an enormous height, leading her to express concern for her feet. This highlights her confusion and the absurdity of her situation.",5.0,,,,Setup,0.02236504091507767,0.45774349445037693,-0.11035683718360105,0.005143471372867735,1
27,27,2,"And she went on planning to herself how she would manage it. “They must go by the carrier,” she thought; “and how funny it’ll seem, sending presents to one’s own feet! And how odd the directions will look!",38,205,castle,INT,day,Alice's Transformation,"Alice notices her body growing to an enormous height, leading her to express concern for her feet. This highlights her confusion and the absurdity of her situation.",5.0,,,,Setup,0.005753264071220203,0.4634967585215971,-0.10468813691793495,0.004160677004126052,1
28,28,2,"     _Alice’s Right Foot, Esq., Hearthrug, near the Fender,_ (_with      Alice’s love_).",21,88,castle,INT,day,Alice's Transformation,"Alice notices her body growing to an enormous height, leading her to express concern for her feet. This highlights her confusion and the absurdity of her situation.",5.0,,,,Setup,0.005974079953676702,0.4694708384752738,-0.10515854347012842,-0.0017948539519328024,1
29,29,2,"Oh dear, what nonsense I’m talking!”",6,36,castle,INT,day,Alice's Transformation,"Alice notices her body growing to an enormous height, leading her to express concern for her feet. This highlights her confusion and the absurdity of her situation.",5.0,,,,Setup,0.002776651389132464,0.4722474898644063,-0.10738756837449057,-0.003450523276557906,1
30,30,2,"Just then her head struck against the roof of the hall: in fact she was now more than nine feet high, and she at once took up the little golden key and hurried off to the garden door.",38,183,castle,INT,day,Alice's Transformation,"Alice notices her body growing to an enormous height, leading her to express concern for her feet. This highlights her confusion and the absurdity of her situation.",5.0,,,,Setup,0.0019374276083617325,0.47418491747276803,-0.10547375985978766,-0.0031489230333668376,1
31,31,2,"Poor Alice! It was as much as she could do, lying down on one side, to look through into the garden with one eye; but to get through was more hopeless than ever: she sat down and began to cry again.",41,198,castle,INT,day,Alice's Tears Create a Pool,"Overwhelmed with emotions, Alice begins to cry and creates a large pool of tears around her. This event symbolizes her loneliness and frustration in this strange world.",6.0,Action,"Alice sits down to cry, creating a pool of tears around her.",Alice,Inciting Incident,0.018809709155285896,0.49299462662805393,-0.09038431292539453,0.00808111479918653,1
32,32,2,"“You ought to be ashamed of yourself,” said Alice, “a great girl like you,” (she might well say this), “to go on crying in this way! Stop this moment, I tell you!” But she went on all the same, shedding gallons of tears, until there was a large pool all round her, about four inches deep and reaching half down the hall.",62,320,castle,INT,day,Alice's Tears Create a Pool,"Overwhelmed with emotions, Alice begins to cry and creates a large pool of tears around her. This event symbolizes her loneliness and frustration in this strange world.",6.0,Statement,Alice reprimands herself for crying and tries to stop.,Alice,Inciting Incident,0.01095539794278421,0.5039500245708382,-0.08901258715753249,-0.002788066977862917,1
33,33,2,"After a time she heard a little pattering of feet in the distance, and she hastily dried her eyes to see what was coming. It was the White Rabbit returning, splendidly dressed, with a pair of white kid gloves in one hand and a large fan in the other: he came trotting along in a great hurry, muttering to himself as he came, “Oh! the Duchess, the Duchess! Oh! won’t she be savage if I’ve kept her waiting!” Alice felt so desperate that she was ready to ask help of any one; so, when the Rabbit came near her, she began, in a low, timid voice, “If you please, sir—” The Rabbit started violently, dropped the white kid gloves and the fan, and skurried away into the darkness as hard as he could go.",134,696,castle,INT,day,The White Rabbit's Return,"The White Rabbit reappears, hurriedly muttering about the Duchess, causing Alice to desire assistance. When she tries to speak to him, he panics and runs away, emphasizing her isolation.",5.0,Action,"The White Rabbit rushes past Alice, dropping his gloves and fan in fright.",White Rabbit,Turning Point,0.023891027596336295,0.5278410521671745,-0.10437011958795263,0.015512954776604679,1
34,34,2,"Alice took up the fan and gloves, and, as the hall was very hot, she kept fanning herself all the time she went on talking: “Dear, dear! How queer everything is to-day! And yesterday things went on just as usual. I wonder if I’ve been changed in the night? Let me think: was I the same when I got up this morning? I almost think I can remember feeling a little different. But if I’m not the same, the next question is, Who in the world am I? Ah, _that’s_ the great puzzle!” And she began thinking over all the children she knew that were of the same age as herself, to see if she could have been changed for any of them.",123,620,castle,INT,day,Self-Identity Crisis,"Alice reflects on her identity, questioning if she has changed since her morning. This moment illustrates her confusion and quest for self-discovery amid the bizarre happenings.",7.0,Statement,The White Rabbit mutters about being late for the Duchess.,White Rabbit,Climax,0.0025826038392589364,0.5304236560064334,-0.10580926762947163,0.017657411702063204,1
35,35,2,"“I’m sure I’m not Ada,” she said, “for her hair goes in such long ringlets, and mine doesn’t go in ringlets at all; and I’m sure I can’t be Mabel, for I know all sorts of things, and she, oh! she knows such a very little! Besides, _she’s_ she, and _I’m_ I, and—oh dear, how puzzling it all is! I’ll try if I know all the things I used to know. Let me see: four times five is twelve, and four times six is thirteen, and four times seven is—oh dear! I shall never get to twenty at that rate! However, the Multiplication Table doesn’t signify: let’s try Geography. London is the capital of Paris, and Paris is the capital of Rome, and Rome—no, _that’s_ all wrong, I’m certain! I must have been changed for Mabel! I’ll try and say ‘_How doth the little_—’” and she crossed her hands on her lap as if she were saying lessons, and began to repeat it, but her voice sounded hoarse and strange, and the words did not come the same as they used to do:—",183,943,castle,INT,day,Self-Identity Crisis,"Alice reflects on her identity, questioning if she has changed since her morning. This moment illustrates her confusion and quest for self-discovery amid the bizarre happenings.",7.0,,,,Climax,0.007356472224391663,0.537780128230825,-0.10626010005930342,0.02500005657352866,1
36,36,2,"“How doth the little crocodile     Improve his shining tail, And pour the waters of the Nile     On every golden scale!",28,119,castle,INT,day,Self-Identity Crisis,"Alice reflects on her identity, questioning if she has changed since her morning. This moment illustrates her confusion and quest for self-discovery amid the bizarre happenings.",7.0,,,,Climax,0.019959147900368672,0.5577392761311937,-0.11231722911019007,0.04401791062096777,1
37,37,2,"“How cheerfully he seems to grin,     How neatly spread his claws, And welcome little fishes in     With gently smiling jaws!”",28,126,castle,INT,day,Self-Identity Crisis,"Alice reflects on her identity, questioning if she has changed since her morning. This moment illustrates her confusion and quest for self-discovery amid the bizarre happenings.",7.0,,,,Climax,0.07264722869264473,0.6303865048238384,-0.040246053880397786,0.03488743759280551,2
38,38,2,"“I’m sure those are not the right words,” said poor Alice, and her eyes filled with tears again as she went on, “I must be Mabel after all, and I shall have to go and live in that poky little house, and have next to no toys to play with, and oh! ever so many lessons to learn! No, I’ve made up my mind about it; if I’m Mabel, I’ll stay down here! It’ll be no use their putting their heads down and saying ‘Come up again, dear!’ I shall only look up and say ‘Who am I then? Tell me that first, and then, if I like being that person, I’ll come up: if not, I’ll stay down here till I’m somebody else’—but, oh dear!” cried Alice, with a sudden burst of tears, “I do wish they _would_ put their heads down! I am so _very_ tired of being all alone here!”",153,748,castle,INT,day,Self-Identity Crisis,"Alice reflects on her identity, questioning if she has changed since her morning. This moment illustrates her confusion and quest for self-discovery amid the bizarre happenings.",7.0,,,,Climax,0.007439969472388583,0.637826474296227,-0.03788223574764754,0.027832970243291788,2
39,39,2,"As she said this she looked down at her hands, and was surprised to see that she had put on one of the Rabbit’s little white kid gloves while she was talking. “How _can_ I have done that?” she thought. “I must be growing small again.” She got up and went to the table to measure herself by it, and found that, as nearly as she could guess, she was now about two feet high, and was going on shrinking rapidly: she soon found out that the cause of this was the fan she was holding, and she dropped it hastily, just in time to avoid shrinking away altogether.",109,556,castle,INT,day,Alice shrinks due to the rabbit's glove,"Accidentally putting on the White Rabbit's glove causes Alice to shrink, leading her to panic about her smaller size and the challenges she faces in reaching the garden again.",6.0,,,,Turning Point,0.003867639435164653,0.6416941137313916,-0.036788533000474154,0.031542747743528984,2
40,40,2,"“That _was_ a narrow escape!” said Alice, a good deal frightened at the sudden change, but very glad to find herself still in existence; “and now for the garden!” and she ran with all speed back to the little door: but, alas! the little door was shut again, and the little golden key was lying on the glass table as before, “and things are worse than ever,” thought the poor child, “for I never was so small as this before, never! And I declare it’s too bad, that it is!”",90,471,castle,INT,day,Alice shrinks due to the rabbit's glove,"Accidentally putting on the White Rabbit's glove causes Alice to shrink, leading her to panic about her smaller size and the challenges she faces in reaching the garden again.",6.0,Action,"Alice falls into a pool of her own tears and swims around, trying to find a way out.",Alice,Turning Point,0.002172194845494026,0.6438663085768856,-0.03830835459679718,0.033094705462714966,2
41,41,2,"As she said these words her foot slipped, and in another moment, splash! she was up to her chin in salt water. Her first idea was that she had somehow fallen into the sea, “and in that case I can go back by railway,” she said to herself. (Alice had been to the seaside once in her life, and had come to the general conclusion, that wherever you go to on the English coast you find a number of bathing machines in the sea, some children digging in the sand with wooden spades, then a row of lodging houses, and behind them a railway station.) However, she soon made out that she was in the pool of tears which she had wept when she was nine feet high.",128,650,castle,EXT,day,Alice in the Pool of Tears,"Alice finds herself swimming in the pool of her own tears, which she regrets. This represents the consequences of her overwhelming emotions and her feeling of being trapped.",6.0,,,,Resolution,0.00597579577099517,0.6498421043478808,-0.043255805705166336,0.03644625176657838,2
42,42,2,"“I wish I hadn’t cried so much!” said Alice, as she swam about, trying to find her way out. “I shall be punished for it now, I suppose, by being drowned in my own tears! That _will_ be a queer thing, to be sure! However, everything is queer to-day.”",49,249,castle,EXT,day,Alice in the Pool of Tears,"Alice finds herself swimming in the pool of her own tears, which she regrets. This represents the consequences of her overwhelming emotions and her feeling of being trapped.",6.0,,,,Resolution,0.0011669660621185277,0.6510090704099993,-0.04442233521984848,0.03641433497614034,2
43,43,2,"Just then she heard something splashing about in the pool a little way off, and she swam nearer to make out what it was: at first she thought it must be a walrus or hippopotamus, but then she remembered how small she was now, and she soon made out that it was only a mouse that had slipped in like herself.",61,306,castle,EXT,day,Meeting the Mouse,Alice encounters a Mouse in the pool and attempts to communicate. Her dialogues with the Mouse begin a new interaction that showcases her attempts to connect with others.,6.0,Action,"The Mouse slips into the pool of tears, surprising Alice.",Mouse,Setup,0.006662336194767007,0.6576714066047663,-0.045143944678574355,0.02979119347371267,2
44,44,2,"“Would it be of any use, now,” thought Alice, “to speak to this mouse? Everything is so out-of-the-way down here, that I should think very likely it can talk: at any rate, there’s no harm in trying.” So she began: “O Mouse, do you know the way out of this pool? I am very tired of swimming about here, O Mouse!” (Alice thought this must be the right way of speaking to a mouse: she had never done such a thing before, but she remembered having seen in her brother’s Latin Grammar, “A mouse—of a mouse—to a mouse—a mouse—O mouse!”) The Mouse looked at her rather inquisitively, and seemed to her to wink with one of its little eyes, but it said nothing.",123,652,castle,EXT,day,Meeting the Mouse,Alice encounters a Mouse in the pool and attempts to communicate. Her dialogues with the Mouse begin a new interaction that showcases her attempts to connect with others.,6.0,Action,Alice attempts to communicate with the Mouse she encounters in the pool of tears.,Alice,Setup,0.006076529994894399,0.6637479365996607,-0.04157528127398519,0.03470941045587169,2
